eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85153064642,10.1186/s13007-023-00996-1,,,Cotton plant part 3D segmentation and architectural trait extraction using point voxel convolutional neural networks,ar,Article,Saeed F.,60029747;60023582;60013959;60002494,University of Georgia;The University of Georgia Tifton Campus;University of Florida;Université McGill,Athens;Tifton;Gainesville;Montreal,United States;United States;United States;Canada,6.0,"Saeed, Farah;Sun, Shangpeng;Rodriguez-Sanchez, Javier;Snider, John;Liu, Tianming;Li, Changying",57225338113;57192920402;57760916800;25224082200;57203377182;58190923200,60029747;60002494;60029747;60023582;60029747;60029747-60013959,2023-12-01,December 2023,Plant Methods,,6400153153.0,17464811,Journal,19,1,33,,"Background: Plant architecture can influence crop yield and quality. Manual extraction of architectural traits is, however, time-consuming, tedious, and error prone. The trait estimation from 3D data addresses occlusion issues with the availability of depth information while deep learning approaches enable learning features without manual design. The goal of this study was to develop a data processing workflow by leveraging 3D deep learning models and a novel 3D data annotation tool to segment cotton plant parts and derive important architectural traits. Results: The Point Voxel Convolutional Neural Network (PVCNN) combining both point- and voxel-based representations of 3D data shows less time consumption and better segmentation performance than point-based networks. Results indicate that the best mIoU (89.12%) and accuracy (96.19%) with average inference time of 0.88 s were achieved through PVCNN, compared to Pointnet and Pointnet++. On the seven derived architectural traits from segmented parts, an R2 value of more than 0.8 and mean absolute percentage error of less than 10% were attained. Conclusion: This plant part segmentation method based on 3D deep learning enables effective and efficient architectural trait measurement from point clouds, which could be useful to advance plant breeding programs and characterization of in-season developmental traits. The plant part segmentation code is available at https://github.com/UGA-BSAIL/plant_3d_deep_learning.",3D Deep learning | LiDAR | Plant architecture | Plant part segmentation | Point cloud,0,1,repositoryvor,Green,NSF,1934481,National Science Foundation
2-s2.0-85153057441,10.1186/s13321-023-00714-y,,,LinChemIn: SynGraph—a data model and a toolkit to analyze and compare synthetic routes,ar,Article,Pasquini M.,60031411,Syngenta Crop Protection AG,Basel,Switzerland,2.0,"Pasquini, Marta;Stenta, Marco",58031313900;22951891100,60031411;60031411,2023-12-01,December 2023,Journal of Cheminformatics,,19600157322.0,17582946,Journal,15,1,41,,"Background: The increasing amount of chemical reaction data makes traditional ways to navigate its corpus less effective, while the demand for novel approaches and instruments is rising. Recent data science and machine learning techniques support the development of new ways to extract value from the available reaction data. On the one side, Computer-Aided Synthesis Planning tools can predict synthetic routes in a model-driven approach; on the other side, experimental routes can be extracted from the Network of Organic Chemistry, in which reaction data are linked in a network. In this context, the need to combine, compare and analyze synthetic routes generated by different sources arises naturally. Results: Here we present LinChemIn, a python toolkit that allows chemoinformatics operations on synthetic routes and reaction networks. Wrapping some third-party packages for handling graph arithmetic and chemoinformatics and implementing new data models and functionalities, LinChemIn allows the interconversion between data formats and data models and enables route-level analysis and operations, including route comparison and descriptors calculation. Object-Oriented Design principles inspire the software architecture, and the modules are structured to maximize code reusability and support code testing and refactoring. The code structure should facilitate external contributions, thus encouraging open and collaborative software development. Conclusions: The current version of LinChemIn allows users to combine synthetic routes generated from various tools and analyze them, and constitutes an open and extensible framework capable of incorporating contributions from the community and fostering scientific discussion. Our roadmap envisages the development of sophisticated metrics for routes evaluation, a multi-parameter scoring system, and the implementation of an entire “ecosystem” of functionalities operating on synthetic routes. LinChemIn is freely available at https://github.com/syngenta/linchemin. Graphical Abstract: [Figure not available: see fulltext.]",Chemoinformatics | Computer-aided synthesis planning | Reaction,0,1,repositoryvor,Green,,undefined,
2-s2.0-85152979973,10.1186/s12968-023-00934-z,,37076840.0,"MRXCAT2.0: Synthesis of realistic numerical phantoms by combining left-ventricular shape learning, biophysical simulations and tissue texture generation",ar,Article,Buoso S.,60025858,ETH Zürich,"Zurich ZH,",Switzerland,4.0,"Buoso, Stefano;Joyce, Thomas;Schulthess, Nico;Kozerke, Sebastian",56535306000;56975430600;58190026900;6701739608,60025858;60025858;60025858;60025858,2023-12-01,December 2023,Journal of Cardiovascular Magnetic Resonance,10976647,23845.0,1532429X,Journal,25,1,25,,"Background: Standardised performance assessment of image acquisition, reconstruction and processing methods is limited by the absence of images paired with ground truth reference values. To this end, we propose MRXCAT2.0 to generate synthetic data, covering healthy and pathological function, using a biophysical model. We exemplify the approach by generating cardiovascular magnetic resonance (CMR) images of healthy, infarcted, dilated and hypertrophic left-ventricular (LV) function. Method: In MRXCAT2.0, the XCAT torso phantom is coupled with a statistical shape model, describing population (patho)physiological variability, and a biophysical model, providing known and detailed functional ground truth of LV morphology and function. CMR balanced steady-state free precession images are generated using MRXCAT2.0 while realistic image appearance is ensured by assigning texturized tissue properties to the phantom labels. Finding: Paired CMR image and ground truth data of LV function were generated with a range of LV masses (85–140 g), ejection fractions (34–51%) and peak radial and circumferential strains (0.45 to 0.95 and − 0.18 to − 0.13, respectively). These ranges cover healthy and pathological cases, including infarction, dilated and hypertrophic cardiomyopathy. The generation of the anatomy takes a few seconds and it improves on current state-of-the-art models where the pathological representation is not explicitly addressed. For the full simulation framework, the biophysical models require approximately two hours, while image generation requires a few minutes per slice. Conclusion: MRXCAT2.0 offers synthesis of realistic images embedding population-based anatomical and functional variability and associated ground truth parameters to facilitate a standardized assessment of CMR acquisition, reconstruction and processing methods.",Biomechanical modeling | Cardiac magnetic resonance | Image synthesis | Population variability | Strain,0,1,repositoryvor,Green,SNF,325230-197702,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung
2-s2.0-85152887953,10.1038/s41467-023-37958-z,,37076519.0,Latent generative landscapes as maps of functional diversity in protein sequence space,ar,Article,Ziegler C.,60009415,The University of Texas at Dallas,Richardson,United States,4.0,"Ziegler, Cheyenne;Martin, Jonathan;Sinner, Claude;Morcos, Faruck",57221849753;58189637900;55893549600;16031594600,60009415;60009415;60009415;60009415,2023-12-01,December 2023,Nature Communications,,19700182758.0,20411723,Journal,14,1,2222,,"Variational autoencoders are unsupervised learning models with generative capabilities, when applied to protein data, they classify sequences by phylogeny and generate de novo sequences which preserve statistical properties of protein composition. While previous studies focus on clustering and generative features, here, we evaluate the underlying latent manifold in which sequence information is embedded. To investigate properties of the latent manifold, we utilize direct coupling analysis and a Potts Hamiltonian model to construct a latent generative landscape. We showcase how this landscape captures phylogenetic groupings, functional and fitness properties of several systems including Globins, β-lactamases, ion channels, and transcription factors. We provide support on how the landscape helps us understand the effects of sequence variability observed in experimental data and provides insights on directed and natural protein evolution. We propose that combining generative properties and functional predictive power of variational autoencoders and coevolutionary analysis could be beneficial in applications for protein engineering and design.",,0,1,repositoryam,Green,NSF,MCB-1943442,National Science Foundation
2-s2.0-85152864032,10.1186/s12911-023-02168-6,,37072766.0,Machine learning prediction of mortality in Acute Myocardial Infarction,ar,Article,Oliveira M.,60105899;60064359;60021696,"NOVA Information Management School, Universidade Nova de Lisboa;Escola Nacional de Saúde Pública, Universidade Nova de Lisboa;Faculdade de Medicina, Universidade de Lisboa",Lisboa;Lisbon;Lisbon,Portugal;Portugal;Portugal,5.0,"Oliveira, Mariana;Seringa, Joana;Pinto, Fausto José;Henriques, Roberto;Magalhães, Teresa",58188397500;57212647881;7102740158;26428783400;56350515300,60064359;60064359;60021696;60105899;60064359,2023-12-01,December 2023,BMC Medical Informatics and Decision Making,,23602.0,14726947,Journal,23,1,70,,"Background: Acute Myocardial Infarction (AMI) is the leading cause of death in Portugal and globally. The present investigation created a model based on machine learning for predictive analysis of mortality in patients with AMI upon admission, using different variables to analyse their impact on predictive models. Methods: Three experiments were built for mortality in AMI in a Portuguese hospital between 2013 and 2015 using various machine learning techniques. The three experiments differed in the number and type of variables used. We used a discharged patients’ episodes database, including administrative data, laboratory data, and cardiac and physiologic test results, whose primary diagnosis was AMI. Results: Results show that for Experiment 1, Stochastic Gradient Descent was more suitable than the other classification models, with a classification accuracy of 80%, a recall of 77%, and a discriminatory capacity with an AUC of 79%. Adding new variables to the models increased AUC in Experiment 2 to 81% for the Support Vector Machine method. In Experiment 3, we obtained an AUC, in Stochastic Gradient Descent, of 88% and a recall of 80%. These results were obtained when applying feature selection and the SMOTE technique to overcome imbalanced data. Conclusions: Our results show that the introduction of new variables, namely laboratory data, impacts the performance of the methods, reinforcing the premise that no single approach is adapted to all situations regarding AMI mortality prediction. Instead, they must be selected, considering the context and the information available. Integrating Artificial Intelligence (AI) and machine learning with clinical decision-making can transform care, making clinical practice more efficient, faster, personalised, and effective. AI emerges as an alternative to traditional models since it has the potential to explore large amounts of information automatically and systematically.",Acute Myocardial Infarction | Cardiovascular diseases | Machine learning | Predictive models,0,1,repositoryvor,Green,,UIDP/04923/2020,
2-s2.0-85152710145,10.1007/s43762-023-00090-1,,,Scalable flood inundation mapping using deep convolutional networks and traffic signage,ar,Article,Alizadeh B.,60020547,Texas A&amp;M University,College Station,United States,2.0,"Alizadeh, Bahareh;Behzadan, Amir H.",57288843900;15073914400,60020547;60020547,2023-12-01,December 2023,Computational Urban Science,,21101142737.0,27306852,Journal,3,1,17,,"Floods are one of the most prevalent and costliest natural hazards globally. The safe transit of people and goods during a flood event requires fast and reliable access to flood depth information with spatial granularity comparable to the road network. In this research, we propose to use crowdsourced photos of submerged traffic signs for street-level flood depth estimation and mapping. To this end, a deep convolutional neural network (CNN) is utilized to detect traffic signs in user-contributed photos, followed by comparing the lengths of the visible part of detected sign poles before and after the flood event. A tilt correction approach is also designed and implemented to rectify potential inaccuracy in pole length estimation caused by tilted stop signs in floodwaters. The mean absolute error (MAE) achieved for pole length estimation in pre- and post-flood photos is 1.723 and 2.846 in., respectively, leading to an MAE of 4.710 in. for flood depth estimation. The presented approach provides people and first responders with a reliable and geographically scalable solution for estimating and communicating real-time flood depth data at their locations.",Crowdsourcing | Deep learning | Flood | Floodwater depth | Semantic segmentation | Traffic signage,0,1,publisherfullgold,Gold,DOC,undefined,U.S. Department of Commerce
2-s2.0-85152696391,10.1038/s41598-023-33339-0,,37069257.0,Value of handcrafted and deep radiomic features towards training robust machine learning classifiers for prediction of prostate cancer disease aggressiveness,ar,Article,Rodrigues A.,60198715;60113883;60027898;60016952;60007457;60004956;60003102;60002769,"University of Health Sciences;Champalimaud Foundation;Coimbra Polytechnic - ISEC;Faculdade de Medicina da Universidade do Porto (FMUP);Lomonosov Moscow State University;Instituto Superior Técnico;Instituto Portugues de Oncologia de Francisco Gentil Porto;Faculdade de Ciências, Universidade de Lisboa",Istanbul;Lisbon;Coimbra;Porto;Moscow;Lisbon;Porto;Lisbon,Turkey;Portugal;Portugal;Portugal;Russian Federation;Portugal;Portugal;Portugal,8.0,"Rodrigues, Ana;Rodrigues, Nuno;Santinha, João;Lisitskaya, Maria V.;Uysal, Aycan;Matos, Celso;Domingues, Inês;Papanikolaou, Nickolas",57685371700;57192108152;55246298700;57210604921;57209476063;58185667900;57183994300;58137796100,60113883-60016952;60113883-60002769;60113883-60004956;60007457;60198715;60113883;60027898-60003102;60113883,2023-12-01,December 2023,Scientific Reports,,21100200805.0,20452322,Journal,13,1,6206,,"There is a growing piece of evidence that artificial intelligence may be helpful in the entire prostate cancer disease continuum. However, building machine learning algorithms robust to inter- and intra-radiologist segmentation variability is still a challenge. With this goal in mind, several model training approaches were compared: removing unstable features according to the intraclass correlation coefficient (ICC); training independently with features extracted from each radiologist’s mask; training with the feature average between both radiologists; extracting radiomic features from the intersection or union of masks; and creating a heterogeneous dataset by randomly selecting one of the radiologists’ masks for each patient. The classifier trained with this last resampled dataset presented with the lowest generalization error, suggesting that training with heterogeneous data leads to the development of the most robust classifiers. On the contrary, removing features with low ICC resulted in the highest generalization error. The selected radiomics dataset, with the randomly chosen radiologists, was concatenated with deep features extracted from neural networks trained to segment the whole prostate. This new hybrid dataset was then used to train a classifier. The results revealed that, even though the hybrid classifier was less overfitted than the one trained with deep features, it still was unable to outperform the radiomics model.",,0,1,repositoryvor,Green,H2020,952159,Horizon 2020 Framework Programme
2-s2.0-85152672862,10.1186/s43042-023-00411-3,,,The importance of personalized medicine in chronic myeloid leukemia management: a narrative review,re,Review,Zaker E.,60171626;60024502;60008235,"School of Public Health;School of Medicine, Isfahan UMS;Shahid Sadoughi University of Medical Sciences",Tehran;Isfahan;Yazd,Iran;Iran;Iran,6.0,"Zaker, Erfan;Nouri, Negar;Sorkhizadeh, Sepehr;Ghasemirad, Hamidreza;Hajijafari, Amir Hossein;Zare, Fateme",57222022429;57556341200;58185831900;57720329700;58186491200;57189362633,60008235-60024502;60008235-60024502;60008235;60008235;60024502;60008235-60171626,2023-12-01,December 2023,Egyptian Journal of Medical Human Genetics,11108630,19700175117.0,20902441,Journal,24,1,31,,"Background: Tyrosine kinase inhibitors (TKIs) are prescribed as a targeted therapy to treat chronic myeloid leukemia patients. A challenge in clinical practice is that despite excellent efficacy and improved clinical response levels acquired by imatinib, a number of patients receive TKI therapy but have a poor primary response, develop a drug resistance, or relapse after initial success. This inter-individual difference into response has increased the concern in investigating the pharmacogenetics of cancer drugs. This review discusses the influence of various factors, such as BCR-ABL point mutation, efflux and influx transporters, and others, on targeted drug response in CML. Additionally, we focus on how patients can overcome these issues.",Chronic myeloid leukemia | Drug resistance | Personalized medicine | Pharmacogenetics | Tyrosine kinase inhibitor,0,1,publisherfullgold,Gold,,undefined,
2-s2.0-85152656155,10.1186/s12859-023-05281-5,,37069545.0,SynBioTools: a one-stop facility for searching and selecting synthetic biology tools,ar,Article,Cai P.,60273065;60025858,Shanghai Institute of Nutrition and Health;ETH Zürich,"Shanghai;Zurich ZH,",China;Switzerland,8.0,"Cai, Pengli;Liu, Sheng;Zhang, Dachuan;Xing, Huadong;Han, Mengying;Liu, Dongliang;Gong, Linlin;Hu, Qian Nan",57604437500;57221293450;57211216443;57221286282;57215205562;57215201465;57215194582;7403214613,60273065;60273065;60025858;60273065;60273065;60273065;60273065;60273065,2023-12-01,December 2023,BMC Bioinformatics,,17929.0,14712105,Journal,24,1,152,,"Background: The rapid development of synthetic biology relies heavily on the use of databases and computational tools, which are also developing rapidly. While many tool registries have been created to facilitate tool retrieval, sharing, and reuse, no relatively comprehensive tool registry or catalog addresses all aspects of synthetic biology. Results: We constructed SynBioTools, a comprehensive collection of synthetic biology databases, computational tools, and experimental methods, as a one-stop facility for searching and selecting synthetic biology tools. SynBioTools includes databases, computational tools, and methods extracted from reviews via SCIentific Table Extraction, a scientific table-extraction tool that we built. Approximately 57% of the resources that we located and included in SynBioTools are not mentioned in bio.tools, the dominant tool registry. To improve users’ understanding of the tools and to enable them to make better choices, the tools are grouped into nine modules (each with subdivisions) based on their potential biosynthetic applications. Detailed comparisons of similar tools in every classification are included. The URLs, descriptions, source references, and the number of citations of the tools are also integrated into the system. Conclusions: SynBioTools is freely available at https://synbiotools.lifesynther.com/. It provides end-users and developers with a useful resource of categorized synthetic biology databases, tools, and methods to facilitate tool retrieval and selection.",Computational tool | Database | Synthetic biology | Table extraction | Tool registry | Tool retrieval,0,1,repositoryvor,Green,NKRDPC,153D31KYSB20170121,National Key Research and Development Program of China
2-s2.0-85152642283,10.1038/s41598-023-32611-7,,37069168.0,A convolutional attention mapping deep neural network for classification and localization of cardiomegaly on chest X-rays,ar,Article,Innat M.,60025858;60025301;60018805,ETH Zürich;Khulna University of Engineering and Technology;Deakin University,"Zurich ZH,;Khulna;Geelong",Switzerland;Bangladesh;Australia,4.0,"Innat, Mohammed;Hossain, Md Faruque;Mader, Kevin;Kouzani, Abbas Z.",58186160500;24512106900;58186488100;7003695829,60025301;60025301;60025858;60018805,2023-12-01,December 2023,Scientific Reports,,21100200805.0,20452322,Journal,13,1,6247,,"Building a reliable and precise model for disease classification and identifying abnormal sites can provide physicians assistance in their decision-making process. Deep learning based image analysis is a promising technique for enriching the decision making process, and accordingly strengthening patient care. This work presents a convolutional attention mapping deep learning model, Cardio-XAttentionNet, to classify and localize cardiomegaly effectively. We revisit the global average pooling (GAP) system and add a weighting term to develop a light and effective Attention Mapping Mechanism (AMM). The model enables the classification of cardiomegaly from chest X-rays through image-level classification and pixel-level localization only from image-level labels. We leverage some of the advanced ConvNet architectures as a backbone-model of the proposed attention mapping network to build Cardio-XAttentionNet. The proposed model is trained on ChestX-Ray14, which is a publicly accessible chest X-ray dataset. The best single model achieves an overall precision, recall, F-1 measure and area under curve (AUC) scores of 0.87, 0.85, 0.86 and 0.89, respectively, for the classification of the cardiomegaly. The results also demonstrate that the Cardio-XAttentionNet model well captures the cardiomegaly class information at image-level as well as localization at pixel-level on chest x-rays. A comparative analysis between the proposed AMM and existing GAP based models shows that the proposed model achieves a state-of-the-art performance on this dataset for cardiomegaly detection using a single model.",,0,1,repositoryvor,Green,,undefined,
2-s2.0-85152639680,10.1186/s40494-023-00914-7,,,Weathering assessment approach for building sandstone using hyperspectral imaging technique,ar,Article,Yang H.,60023380;120958788;112107661,Chongqing University;National Joint Engineering Research Center of Geohazards Prevention in the Reservoir Areas;Chongqing Academy of Governance,Chongqing;Chongqing;Chongqing,China;China;China,4.0,"Yang, Haiqing;Ni, Jianghua;Chen, Chiwei;Chen, Ying",16551483900;58185672700;58065195100;58024669500,60023380-120958788;60023380-120958788;60023380-120958788;112107661,2023-12-01,December 2023,Heritage Science,,21100286950.0,20507445,Journal,11,1,70,,"Weathering is one of the most common causes of building sandstone damage. The evolution of building sandstone in various weathering behaviors is critical for research. An intelligent assessment approach for classifying weathering degree of building sandstone in a humid environment is presented in this study. This synthesis method relates to three parts: microscopic observation of weathering characteristics, hyperspectral acquisition of weathered samples, and machine learning technology for a classification model. At first, weathering process is divided into initial weathered stage, accelerated weathered stage, and stable weathered stage according to the causes and mechanisms of weathering. Secondly, a novel classification method of weathering degree is proposed based on the weathering stage. Then, the mapping relationship between microscopic characteristics and hyperspectral image of shedding samples can be established in the visible and near-infrared spectral ranges (400–1000 nm) according to the change law of spectral absorption feature. Next, the spectral data of building sandstone with different weathering degrees are classified using Random Forest model. Furthermore, the hyperparameters of Random Forest model are optimized by Gray Wolf Optimizer algorithm for better performance. The trained model is finally applied to evaluate the weathering degree of large-scale sandstone walls quantitatively. The whole weathering assessment process is worth recommending for diagnosing and monitoring the building sandstone.",Building sandstone | Hyperspectral imaging | Machine learning | Microscopic observation | Weathering assessment model,1,1,publisherfullgold,Gold,NSFC,CYS22057,Natural Science Fund for Distinguished Young Scholars of Shandong Province
2-s2.0-85152588422,10.1038/s41597-023-02128-9,,37059736.0,A distributable German clinical corpus containing cardiovascular clinical routine doctor’s letters,dp,Data Paper,Richter-Pechanski P.,60106629;60106550;60003280;124658681;114612203,Deutsches Zentrum für Herz-Kreislauf-Forschung e. V.;Hasso-Plattner-Institut für Softwaresystemtechnik GmbH;Universitätsklinikum Heidelberg;Informatics for Life;Klaus Tschira Institute for Integrative Computational Cardiology,Berlin;Potsdam;Heidelberg;Heidelberg;Heidelberg,Germany;Germany;Germany;Germany;Germany,16.0,"Richter-Pechanski, Phillip;Wiesenbach, Philipp;Schwab, Dominic M.;Kiriakou, Christina;He, Mingyang;Allers, Michael M.;Tiefenbacher, Anna S.;Kunz, Nicola;Martynova, Anna;Spiller, Noemie;Mierisch, Julian;Borchert, Florian;Schwind, Charlotte;Frey, Norbert;Dieterich, Christoph;Geis, Nicolas A.",57204590888;57552142200;57200678811;57194603007;58184526700;57225918841;58184251700;58184526800;58184251800;58184251900;58183683600;57219764932;58183541300;7003744966;7004115873;35947442800,114612203-60003280-60106629-124658681;114612203-60003280-124658681;60003280;60003280;114612203-60003280;114612203;114612203;114612203;114612203;114612203;114612203;60106550;114612203-60003280;60003280-60106629-124658681;114612203-60003280-60106629-124658681;60003280-124658681,2023-12-01,December 2023,Scientific Data,,21100451321.0,20524463,Journal,10,1,207,,"We present CARDIO:DE, the first freely available and distributable large German clinical corpus from the cardiovascular domain. CARDIO:DE encompasses 500 clinical routine German doctor’s letters from Heidelberg University Hospital, which were manually annotated. Our prospective study design complies well with current data protection regulations and allows us to keep the original structure of clinical documents consistent. In order to ease access to our corpus, we manually de-identified all letters. To enable various information extraction tasks the temporal information in the documents was preserved. We added two high-quality manual annotation layers to CARDIO:DE, (1) medication information and (2) CDA-compliant section classes. To the best of our knowledge, CARDIO:DE is the first freely available and distributable German clinical corpus in the cardiovascular domain. In summary, our corpus offers unique opportunities for collaborative and reproducible research on natural language processing models for German clinical texts.",,0,1,repositoryam,Green,DFG,DI 1501/14-1,"Department of Internal Medicine, University of Utah"
2-s2.0-85152568993,10.1186/s13287-023-03310-x,,37061717.0,Tissue engineering modalities in skeletal muscles: focus on angiogenesis and immunomodulation properties,re,Review,Namjoo A.R.,60170134;60031210;60022609,"Stem Cell Research Center;Tabriz University of Medical Sciences;Islamic Azad University, Tabriz Branch",Tabriz;Tabriz;Tabriz East Azarbaijan,Iran;Iran;Iran,6.0,"Namjoo, Atieh Rezaei;Abrbekoh, Fateme Nazary;Saghati, Sepideh;Amini, Hassan;Saadatlou, Mohammad Ali Ebrahimi;Rahbarghazi, Reza",58184120600;57937473300;57194588580;57204511870;55567697800;48861755500,60170134;60170134;60031210;60031210;60022609;60170134-60031210,2023-12-01,December 2023,Stem Cell Research and Therapy,,19700201524.0,17576512,Journal,14,1,90,,"Muscular diseases and injuries are challenging issues in human medicine, resulting in physical disability. The advent of tissue engineering approaches has paved the way for the restoration and regeneration of injured muscle tissues along with available conventional therapies. Despite recent advances in the fabrication, synthesis, and application of hydrogels in terms of muscle tissue, there is a long way to find appropriate hydrogel types in patients with congenital and/or acquired musculoskeletal injuries. Regarding specific muscular tissue microenvironments, the applied hydrogels should provide a suitable platform for the activation of endogenous reparative mechanisms and concurrently deliver transplanting cells and therapeutics into the injured sites. Here, we aimed to highlight recent advances in muscle tissue engineering with a focus on recent strategies related to the regulation of vascularization and immune system response at the site of injury.",Angiogenesis | Engineering approaches | Hydrogels | Immunomodulation | Muscle tissue regeneration,0,1,repositoryam,Green,TUOMS,undefined,Tabriz University of Medical Sciences
2-s2.0-85152549764,10.1186/s40537-023-00724-5,,,Evaluating classifier performance with highly imbalanced Big Data,ar,Article,Hancock J.T.,60017606,Florida Atlantic University,Boca Raton,United States,3.0,"Hancock, John T.;Khoshgoftaar, Taghi M.;Johnson, Justin M.",57216352431;7006211475;57141179400,60017606;60017606;60017606,2023-12-01,December 2023,Journal of Big Data,,21100791292.0,21961115,Journal,10,1,42,,"Using the wrong metrics to gauge classification of highly imbalanced Big Data may hide important information in experimental results. However, we find that analysis of metrics for performance evaluation and what they can hide or reveal is rarely covered in related works. Therefore, we address that gap by analyzing multiple popular performance metrics on three Big Data classification tasks. To the best of our knowledge, we are the first to utilize three new Medicare insurance claims datasets which became publicly available in 2021. These datasets are all highly imbalanced. Furthermore, the datasets are comprised of completely different data. We evaluate the performance of five ensemble learners in the Machine Learning task of Medicare fraud detection. Random Undersampling (RUS) is applied to induce five class ratios. The classifiers are evaluated with both the Area Under the Receiver Operating Characteristic Curve (AUC), and Area Under the Precision Recall Curve (AUPRC) metrics. We show that AUPRC provides a better insight into classification performance. Our findings reveal that the AUC metric hides the performance impact of RUS. However, classification results in terms of AUPRC show RUS has a detrimental effect. We show that, for highly imbalanced Big Data, the AUC metric fails to capture information about precision scores and false positive counts that the AUPRC metric reveals. Our contribution is to show AUPRC is a more effective metric for evaluating the performance of classifiers when working with highly imbalanced Big Data.",AUC | AUPRC | Big Data | Class imbalance | Extremely randomized trees | Undersampling | XGBoost,0,1,publisherfullgold,Gold,FAU,undefined,Florida Atlantic University
2-s2.0-85152546175,10.1038/s41598-023-33223-x,,37061549.0,Triclustering-based classification of longitudinal data for prognostic prediction: targeting relevant clinical endpoints in amyotrophic lateral sclerosis,ar,Article,Soares D.F.,60021696;60004956;60002769,"Faculdade de Medicina, Universidade de Lisboa;Instituto Superior Técnico;Faculdade de Ciências, Universidade de Lisboa",Lisbon;Lisbon;Lisbon,Portugal;Portugal;Portugal,5.0,"Soares, Diogo F.;Henriques, Rui;Gromicho, Marta;de Carvalho, Mamede;Madeira, Sara C.",57533042700;58184121100;6506583274;7101893769;6602138051,60002769;60004956;60021696;60021696;60002769,2023-12-01,December 2023,Scientific Reports,,21100200805.0,20452322,Journal,13,1,6182,,"This work proposes a new class of explainable prognostic models for longitudinal data classification using triclusters. A new temporally constrained triclustering algorithm, termed TCtriCluster, is proposed to comprehensively find informative temporal patterns common to a subset of patients in a subset of features (triclusters), and use them as discriminative features within a state-of-the-art classifier with guarantees of interpretability. The proposed approach further enhances prediction with the potentialities of model explainability by revealing clinically relevant disease progression patterns underlying prognostics, describing features used for classification. The proposed methodology is used in the Amyotrophic Lateral Sclerosis (ALS) Portuguese cohort (N = 1321), providing the first comprehensive assessment of the prognostic limits of five notable clinical endpoints: need for non-invasive ventilation (NIV); need for an auxiliary communication device; need for percutaneous endoscopic gastrostomy (PEG); need for a caregiver; and need for a wheelchair. Triclustering-based predictors outperform state-of-the-art alternatives, being able to predict the need for auxiliary communication device (within 180 days) and the need for PEG (within 90 days) with an AUC above 90%. The approach was validated in clinical practice, supporting healthcare professionals in understanding the link between the highly heterogeneous patterns of ALS disease progression and the prognosis.",,0,1,repositoryam,Green,H2020,UIDB/00408/2020,Horizon 2020 Framework Programme
2-s2.0-85152469227,10.1186/s12885-023-10808-3,,37055741.0,Cervical cancer survival prediction by machine learning algorithms: a systematic review,ar,Article,Rahimi M.,60112206;60018934,SBUMS Cancer Research Center;Shahid Beheshti University of Medical Sciences,Tehran;Tehran,Iran;Iran,4.0,"Rahimi, Milad;Akbari, Atieh;Asadi, Farkhondeh;Emami, Hassan",58182544900;36239726200;54399781200;51663256200,60018934;60112206;60018934;60018934,2023-12-01,December 2023,BMC Cancer,,28747.0,14712407,Journal,23,1,341,,"Background: Cervical cancer is a common malignant tumor of the female reproductive system and is considered a leading cause of mortality in women worldwide. The analysis of time to event, which is crucial for any clinical research, can be well done with the method of survival prediction. This study aims to systematically investigate the use of machine learning to predict survival in patients with cervical cancer. Method: An electronic search of the PubMed, Scopus, and Web of Science databases was performed on October 1, 2022. All articles extracted from the databases were collected in an Excel file and duplicate articles were removed. The articles were screened twice based on the title and the abstract and checked again with the inclusion and exclusion criteria. The main inclusion criterion was machine learning algorithms for predicting cervical cancer survival. The information extracted from the articles included authors, publication year, dataset details, survival type, evaluation criteria, machine learning models, and the algorithm execution method. Results: A total of 13 articles were included in this study, most of which were published from 2018 onwards. The most common machine learning models were random forest (6 articles, 46%), logistic regression (4 articles, 30%), support vector machines (3 articles, 23%), ensemble and hybrid learning (3 articles, 23%), and Deep Learning (3 articles, 23%). The number of sample datasets in the study varied between 85 and 14946 patients, and the models were internally validated except for two articles. The area under the curve (AUC) range for overall survival (0.40 to 0.99), disease-free survival (0.56 to 0.88), and progression-free survival (0.67 to 0.81), respectively from (lowest to highest) received. Finally, 15 variables with an effective role in predicting cervical cancer survival were identified. Conclusion: Combining heterogeneous multidimensional data with machine learning techniques can play a very influential role in predicting cervical cancer survival. Despite the benefits of machine learning, the problem of interpretability, explainability, and imbalanced datasets is still one of the biggest challenges. Providing machine learning algorithms for survival prediction as a standard requires further studies.",Cervical Cancer | Deep Learning | Machine Learning | Survival Prediction,0,1,repositoryvor,Green,,undefined,
